VoyageID,Lat,Lon,Day,Month,Year,Encounter,Species,NTried,PlaceName,Source,sequence
AV00009,32.77,-54.67,22,5,1915,Strike,Sperm,2,,Townsend,115270
AV00009,32.72,-55.2,23,5,1915,Strike,Sperm,1,,Townsend,210150
AV00009,34.15,-49.33,7,6,1915,Strike,Sperm,1,,Townsend,310700
AV00009,34.47,-47.17,12,6,1915,Strike,Sperm,1,,Townsend,410000
AV00009,33.18,-44.17,22,6,1915,Strike,Sperm,1,,Townsend,510000
AV00009,33,-44.28,30,6,1915,Strike,Sperm,1,,Townsend,610000
AV00009,33,-44.33,3,7,1915,Strike,Sperm,2,,Townsend,710000
AV00009,33.25,-44.35,6,7,1915,Strike,Sperm,3,,Townsend,810000
AV00009,32.83,-49.63,9,7,1915,Strike,Sperm,1,,Townsend,910000
AV00009,33,-44.48,11,7,1915,Strike,Sperm,1,,Townsend,1010000
AV00009,32.27,-65.4,11,8,1915,Strike,Sperm,1,,Townsend,118000
AV00009,39.38,-71.13,27,8,1915,Strike,Sperm,2,,Townsend,1210000
AV00015,38.62,-65,19,5,1878,Strike,Sperm,1,,Townsend,213847
AV00042,5,-22.05,27,12,1853,Strike,Sperm,1,,Townsend,222365
AV00042,-2,-87,8,10,1854,Strike,Sperm,1,,Townsend,2310000
AV00042,0.5,-87.75,10,1,1855,Strike,Sperm,1,,Townsend,243465
AV00042,-16.62,-101.23,7,2,1855,Strike,Sperm,2,,Townsend,251993
AV00042,0.5,-114,29,4,1855,Strike,Sperm,1,,Townsend,268230
AV00042,24.7,-114.37,3,7,1855,Strike,Sperm,1,,Townsend,277592
AV00042,24.53,-114.05,5,7,1855,Strike,Sperm,1,,Townsend,281400
AV00042,1.18,-81.83,14,10,1855,Strike,Sperm,3,,Townsend,292420
AV00042,1,-91.33,8,12,1855,Strike,Sperm,1,,Townsend,309800
AV00042,-0.6,-91.15,11,12,1855,Strike,Sperm,1,Albemarle Island,Townsend,1258111
AV00042,-2,-87.5,28,1,1856,Strike,Sperm,1,,Townsend,322000
AV00042,-1.57,-89.1,15,2,1856,Strike,Sperm,1,,Townsend,3310000
AV00042,0.73,-81.67,9,9,1856,Strike,Sperm,1,,Townsend,347968
AV00042,0.38,-81.27,18,9,1856,Strike,Sperm,1,,Townsend,351000
AV00042,0,-90,27,11,1856,Strike,Sperm,1,Galapagos,Townsend,1392111
AV00042,0,-90,29,11,1856,Strike,Sperm,2,Galapagos,Townsend,1393811
AV00042,0.42,-92.25,4,12,1856,Strike,Sperm,1,,Townsend,381000
AV00042,0.67,-93.4,14,12,1856,Strike,Sperm,4,,Townsend,391000
AV00042,1.07,-91,11,1,1857,Strike,Sperm,3,,Townsend,401000
AV00043,-18,41,11,1,1858,Strike,Sperm,1,,Townsend,411000
AV00043,12,45,24,2,1858,Strike,Sperm,2,,Townsend,421000
AV00043,-3.78,55.65,4,5,1858,Strike,Sperm,1,Denis Island,Townsend,1372911
AV00043,-9.71,47.58,30,5,1858,Strike,Sperm,2,Cosmoledo Island,Townsend,1362711
AV00043,-11.67,43.35,6,6,1858,Strike,Sperm,1,Grand Comore,Townsend,1401311
AV00043,-5.47,41.07,26,12,1858,Strike,Sperm,1,,Townsend,511000
AV00043,-9,60,12,3,1859,Strike,Sperm,1,,Townsend,521000
AV00043,-11.67,45,5,6,1859,Strike,Sperm,1,,Townsend,531000
