voyageID,port,yearOut,dayOut,yearIn,dayIn,agentID,bone,sperm,oil,aowlLink,masterID,vesselID,rig,builtDate
AV00001,Unknown,1766,1766,,,,,,,,AM2026,AS0000,,
AV00002,"Providence, RI",1773,1773,,,AA0160,,,,,AM3176,AS0812,Sloop,
AV00003,"New York, NY",1868,1868,1868,1868,,,,,,AM1345,AS0791,Brig,
AV00004,"New York, NY",1868,1868 Aug 4,1873,1873,AA0312,,700,450,,AM1818,AS0791,Brig,
AV00004,"New York, NY",1868,1868 Aug 4,1873,1873,AA0312,,700,450,,AM5153,AS0791,Brig,
AV00005,"New Bedford, MA",1876,1876,1877,1877,AA1038,,,,,AM2832,AS0431,Brig,1858
AV00006,"New Bedford, MA",1910,1910 Apr 26,1910,1910,AA0253,,320,,,AM1055,AS0743,Schr,1888
AV00007,"New Bedford, MA",1910,1910 Oct 11,1912,1912,AA0253,,1075,,,AM4045,AS0743,Schr,1888
AV00008,"New Bedford, MA",1912,1912 Jul 27,1914,1914 Aug 24,AA0253,,2126,,,AM3155,AS0743,Schr,1888
AV00009,"New Bedford, MA",1915,1915 Mar 16,1915,1915 Sep 1,AA0253,,500,,AV00009,AM3155,AS0743,Schr,1888
AV00011,"Fall River, MA",1853,1853 Jun 27,1857,1857 Feb 14,AA0161,1400,700,800,,AM3313,AS0807,Bark,1852
AV00012,"Fall River, MA",1857,1857 Jul 7,1861,1861 May 27,AA0161,648,1473,,,AM4119,AS0807,Bark,1852
AV00013,"New Bedford, MA",1876,1876 May 23,1877,1877 Jan 12,AA1039,4500,,200,AV00013,AM4378,AS0807,Bark,1852
AV00014,"New Bedford, MA",1877,1877 Jul 17,1878,1878 Apr 10,AA1038,2300,,243,AV00014,AM2832,AS0431,Brig,1858
AV00015,"New Bedford, MA",1878,1878 May 15,1878,1878 Aug 16,AA1039,,,20,AV00015,AM4378,AS0431,Brig,1858
AV00016,"Provincetown, MA",1866,1866,1867,1867,AA0309,,220,170,,AM2422,AS0808,Schr,1863
AV00017,"Provincetown, MA",1867,1867,1868,1868,AA0309,1000,13,34,,AM1656,AS0808,Schr,1863
AV00018,"Provincetown, MA",1868,1868,1869,1869,AA0309,,45,50,,AM4464,AS0808,Schr,1863
AV00019,"New Bedford, MA",1909,1909 Sep 29,1910,1910 Nov,AA1150,,160,,,AM4501,AS0745,Schr,1900
AV00020,"New Bedford, MA",1911,1911 May 3,1911,1911,AA1150,800,340,80,,AM4501,AS0745,Schr,1900
AV00021,"New Bedford, MA",1912,1912 May 1,1912,1912 Sep 6,AA1150,,300,,,AM4501,AS0745,Schr,1900
AV00022,"New Bedford, MA",1913,1913 Feb 13,1913,1913 Aug 8,AA1150,,550,,,AM4501,AS0745,Schr,1900
AV00022,"New Bedford, MA",1913,1913 Feb 13,1913,1913 Aug 8,AA1150,,550,,,AM4465,AS0745,Schr,1900
AV00024,"New Bedford, MA",1914,1914 Apr 24,1914,1914,AA1150,,,,,AM4501,AS0745,Schr,1900
AV00025,"New Bedford, MA",1914,1914 Apr 23,1916,1916,AA1150,,550,,,AM0963,AS0745,Schr,1900
AV00026,"New Bedford, MA",1917,1917 Feb 5,1917,1917,AA1128,,,,,AM2249,AS0745,Schr,1900
AV00027,"New Bedford, MA",1917,1917 Jun 26,1917,1917,AA1128,,,,,AM2249,AS0745,Schr,1900
AV00028,"New Bedford, MA",1917,1917 Oct 2,1918,1918,AA1128,,625,,,AM2249,AS0745,Schr,1900
AV00029,"New Bedford, MA",1918,1918 Oct 14,,,,,,,,AM5595,AS0745,Schr,1900
AV00030,"New Bedford, MA",1919,1919 Oct 29,1920,1920 May 21,AA0252,,650,,,AM2249,AS0745,Schr,1900
AV00031,"New Bedford, MA",1920,1920 Jun 11,1920,1920 Sep 22,,,375,,,AM5030,AS0745,Schr,1900
AV00032,"New Bedford, MA",1920,1920 Nov 1,1921,1921,AA0253,,400,,,AM2247,AS0745,Schr,1900
AV00033,"New Bedford, MA",1922,1922 Apr 8,,,AA0253,,,,,AM2247,AS0745,Schr,1900
AV00034,"San Francisco, CA",1858,1858,1859,1859,,,,100,,AM1679,AS0809,Schr,
AV00035,"San Francisco, CA",1859,1859,1860,1860,,,,,,AM4831,AS0809,Schr,
AV00036,"Provincetown, MA",1849,1849 Jul 4,1849,1849 Oct 9,,,189,,,AM1315,AS0810,Schr,1845
AV00037,"Provincetown, MA",1850,1850,1850,1850,AA0594,,41,,,AM4616,AS0810,Schr,1845
AV00038,"Provincetown, MA",1851,1851,1851,1851,AA0594,,110,,,AM1337,AS0810,Schr,1845
AV00039,"Provincetown, MA",1852,1852,,,,,,,,AM1337,AS0810,Schr,1845
AV00040,"Provincetown, MA",1852,1852 Mar 16,1852,1852 Jun 16,,,15,,,AM2603,AS0810,Schr,1845
AV00041,"Dartmouth, MA",1851,1851,1853,1853,AA1303,6700,765,275,,AM0238,AS0020,Bark,1851
AV00042,"Dartmouth, MA",1853,1853,1857,1857,AA1303,,775,49,AV00042,AM4520,AS0020,Bark,1851
AV00043,"Dartmouth, MA",1857,1857 Oct 1,1861,1861,AA1302,,779,3,AV00043,AM2593,AS0020,Bark,1851
AV00043,"Dartmouth, MA",1857,1857 Oct 1,1861,1861,AA1302,,779,3,AV00043,AM0416,AS0020,Bark,1851
AV00045,"New Bedford, MA",1861,1861 May 29,1864,1864 May 4,AA1380,,900,10,AV00045,AM2327,AS0020,Bark,1851
AV00046,"New Bedford, MA",1864,1864 Jun 6,1865,1865 Nov 3,AA1380,2300,1109,457,AV00046,AM0037,AS0020,Bark,1851
AV00047,"New Bedford, MA",1865,1865 Dec 2,1868,1868,AA1380,1900,494,204,AV00047,AM2327,AS0020,Bark,1851
AV00048,"New Bedford, MA",1868,1868 Nov 11,1870,1870,AA1380,,255,135,AV00048,AM0371,AS0020,Bark,1851
AV00049,"New Bedford, MA",1871,1871 May 1,1874,1874,AA1380,,564,,AV00049,AM4084,AS0020,Bark,1851
AV00050,"New Bedford, MA",1874,1874 Nov 26,1876,1876 Oct 25,AA1380,,800,,AV00050,AM0247,AS0020,Bark,1851
AV00051,"New Bedford, MA",1876,1876 Dec 12,1879,1879 May 19,AA1380,,950,,AV00051,AM0247,AS0020,Bark,1851
AV00052,"New Bedford, MA",1879,1879,1880,1880,AA1380,,,,,AM0247,AS0020,Bark,1851
AV00053,"New Bedford, MA",1880,1880 Apr 13,1883,1883 May 24,AA1380,,405,245,AV00053,AM2203,AS0020,Bark,1851
AV00054,"New Bedford, MA",1883,1883 Jun 26,1886,1886,AA1380,,1340,360,,AM5116,AS0020,Bark,1851
AV00055,"New Bedford, MA",1887,1887 May 21,1890,1890,AA1380,2100,1580,460,AV00055,AM0950,AS0020,Bark,1851
AV00056,"New Bedford, MA",1891,1891 Apr 28,1892,1892,AA1380,4500,,250,AV00056,AM1859,AS0020,Bark,1851
