voyageID,port,yearOut,dayOut,yearIn,dayIn,bone,sperm,oil,rig,builtDate
AV00001,Unknown,1766,1766,,,,,,,
AV00002,"Providence, RI",1773,1773,,,,,,Sloop,
AV00003,"New York, NY",1868,1868,1868,1868,,,,Brig,
AV00004,"New York, NY",1868,1868 Aug 4,1873,1873,,700,450,Brig,
AV00004,"New York, NY",1868,1868 Aug 4,1873,1873,,700,450,Brig,
AV00005,"New Bedford, MA",1876,1876,1877,1877,,,,Brig,1858
AV00006,"New Bedford, MA",1910,1910 Apr 26,1910,1910,,320,,Schr,1888
AV00007,"New Bedford, MA",1910,1910 Oct 11,1912,1912,,1075,,Schr,1888
AV00008,"New Bedford, MA",1912,1912 Jul 27,1914,1914 Aug 24,,2126,,Schr,1888
AV00009,"New Bedford, MA",1915,1915 Mar 16,1915,1915 Sep 1,,500,,Schr,1888
AV00011,"Fall River, MA",1853,1853 Jun 27,1857,1857 Feb 14,1400,700,800,Bark,1852
AV00012,"Fall River, MA",1857,1857 Jul 7,1861,1861 May 27,648,1473,,Bark,1852
AV00013,"New Bedford, MA",1876,1876 May 23,1877,1877 Jan 12,4500,,200,Bark,1852
AV00014,"New Bedford, MA",1877,1877 Jul 17,1878,1878 Apr 10,2300,,243,Brig,1858
AV00015,"New Bedford, MA",1878,1878 May 15,1878,1878 Aug 16,,,20,Brig,1858
AV00016,"Provincetown, MA",1866,1866,1867,1867,,220,170,Schr,1863
AV00017,"Provincetown, MA",1867,1867,1868,1868,1000,13,34,Schr,1863
AV00018,"Provincetown, MA",1868,1868,1869,1869,,45,50,Schr,1863
AV00019,"New Bedford, MA",1909,1909 Sep 29,1910,1910 Nov,,160,,Schr,1900
AV00020,"New Bedford, MA",1911,1911 May 3,1911,1911,800,340,80,Schr,1900
AV00021,"New Bedford, MA",1912,1912 May 1,1912,1912 Sep 6,,300,,Schr,1900
AV00022,"New Bedford, MA",1913,1913 Feb 13,1913,1913 Aug 8,,550,,Schr,1900
AV00022,"New Bedford, MA",1913,1913 Feb 13,1913,1913 Aug 8,,550,,Schr,1900
AV00024,"New Bedford, MA",1914,1914 Apr 24,1914,1914,,,,Schr,1900
AV00025,"New Bedford, MA",1914,1914 Apr 23,1916,1916,,550,,Schr,1900
AV00026,"New Bedford, MA",1917,1917 Feb 5,1917,1917,,,,Schr,1900
AV00027,"New Bedford, MA",1917,1917 Jun 26,1917,1917,,,,Schr,1900
AV00028,"New Bedford, MA",1917,1917 Oct 2,1918,1918,,625,,Schr,1900
AV00029,"New Bedford, MA",1918,1918 Oct 14,,,,,,Schr,1900
AV00030,"New Bedford, MA",1919,1919 Oct 29,1920,1920 May 21,,650,,Schr,1900
AV00031,"New Bedford, MA",1920,1920 Jun 11,1920,1920 Sep 22,,375,,Schr,1900
AV00032,"New Bedford, MA",1920,1920 Nov 1,1921,1921,,400,,Schr,1900
AV00033,"New Bedford, MA",1922,1922 Apr 8,,,,,,Schr,1900
AV00034,"San Francisco, CA",1858,1858,1859,1859,,,100,Schr,
AV00035,"San Francisco, CA",1859,1859,1860,1860,,,,Schr,
AV00036,"Provincetown, MA",1849,1849 Jul 4,1849,1849 Oct 9,,189,,Schr,1845
AV00037,"Provincetown, MA",1850,1850,1850,1850,,41,,Schr,1845
AV00038,"Provincetown, MA",1851,1851,1851,1851,,110,,Schr,1845
AV00039,"Provincetown, MA",1852,1852,,,,,,Schr,1845
AV00040,"Provincetown, MA",1852,1852 Mar 16,1852,1852 Jun 16,,15,,Schr,1845
AV00041,"Dartmouth, MA",1851,1851,1853,1853,6700,765,275,Bark,1851
AV00042,"Dartmouth, MA",1853,1853,1857,1857,,775,49,Bark,1851
AV00043,"Dartmouth, MA",1857,1857 Oct 1,1861,1861,,779,3,Bark,1851
AV00043,"Dartmouth, MA",1857,1857 Oct 1,1861,1861,,779,3,Bark,1851
AV00045,"New Bedford, MA",1861,1861 May 29,1864,1864 May 4,,900,10,Bark,1851
AV00046,"New Bedford, MA",1864,1864 Jun 6,1865,1865 Nov 3,2300,1109,457,Bark,1851
AV00047,"New Bedford, MA",1865,1865 Dec 2,1868,1868,1900,494,204,Bark,1851
AV00048,"New Bedford, MA",1868,1868 Nov 11,1870,1870,,255,135,Bark,1851
AV00049,"New Bedford, MA",1871,1871 May 1,1874,1874,,564,,Bark,1851
AV00050,"New Bedford, MA",1874,1874 Nov 26,1876,1876 Oct 25,,800,,Bark,1851
AV00051,"New Bedford, MA",1876,1876 Dec 12,1879,1879 May 19,,950,,Bark,1851
AV00052,"New Bedford, MA",1879,1879,1880,1880,,,,Bark,1851
AV00053,"New Bedford, MA",1880,1880 Apr 13,1883,1883 May 24,,405,245,Bark,1851
AV00054,"New Bedford, MA",1883,1883 Jun 26,1886,1886,,1340,360,Bark,1851
AV00055,"New Bedford, MA",1887,1887 May 21,1890,1890,2100,1580,460,Bark,1851
AV00056,"New Bedford, MA",1891,1891 Apr 28,1892,1892,4500,,250,Bark,1851
AV00057,"New Bedford, MA",1893,1893 May 2,1894,1894,3500,,115,Bark,1851
AV00058,"New Bedford, MA",1895,1895 May 4,1896,1896,1450,35,50,Bark,1851
AV00059,"New Bedford, MA",1897,1897 Apr 21,1898,1898,520,35,20,Bark,1851
AV00060,"New Bedford, MA",1899,1899 Jun 6,1901,1901,,1825,,Bark,1851
AV00060,"New Bedford, MA",1899,1899 Jun 6,1901,1901,,1825,,Bark,1851
AV00060,"New Bedford, MA",1899,1899 Jun 6,1901,1901,,1825,,Bark,1851
AV00063,"New Bedford, MA",1901,1901 Oct 15,1903,1903,,1500,,Bark,1851
AV00064,"New Bedford, MA",1903,1903 Oct 3,1906,1906 Jun 30,,1670,,Bark,1851
AV00065,"Bridgeport, CT",1907,1907,1909,1909,600,,35,Gschr,1883
AV00066,"Provincetown, MA",1915,1915,1915,1915,,,,Gschr,1883
AV00067,"Stamford, CT",1910,1910 Jul 10,1912,1912,2000,,80,Gschr,1883
AV00068,"Stamford, CT",1913,1913,1914,1914,,,,Gschr,1883
AV00069,"Nantucket, MA",1867,1867,1868,1868,,404,5,Schr,1860
AV00070,"Nantucket, MA",1869,1869,1870,1870,,500,10,Schr,1860
AV00071,"New Bedford, MA",1872,1872 May 28,1873,1873,13131,,878,Schr,1860
AV00072,"New Bedford, MA",1874,1874 May 11,1875,1875,12000,60,650,Schr,1860
AV00073,"New Bedford, MA",1876,1876 May 4,1877,1877 Sep 24,10000,,750,Schr,1860
AV00074,"New Bedford, MA",1878,1878 May 8,1879,1879 Aug 31,8000,,550,Schr,1860
AV00075,"New Bedford, MA",1880,1880 May 6,1881,1881 Sep 7,4000,,130,Schr,1860
AV00075,"New Bedford, MA",1880,1880 May 6,1881,1881 Sep 7,4000,,130,Schr,1860
AV00076,"New Bedford, MA",1882,1882 Jun 13,1883,1883,2300,,160,Schr,1860
AV00077,"New Bedford, MA",1884,1884 May 22,1885,1885,,,100,Schr,1860
AV00078,"New Bedford, MA",1886,1886 Jun 26,1888,1888,,,75,Schr,1860
AV00079,"Provincetown, MA",1862,1862,1863,1863,,190,110,Schr,1861
AV00080,"Provincetown, MA",1864,1864,1865,1865,1350,227,349,Schr,1861
AV00081,"Provincetown, MA",1865,1865,1866,1866,,,,Schr,1861
AV00082,"Provincetown, MA",1866,1866 Feb 5,1867,1867 Jul 31,,267,10,Schr,1861
AV00084,"Provincetown, MA",1867,1867,1869,1869,,325,80,Schr,1861
AV00085,"Fairhaven, MA",1867,1867,1869,1869,,249,,Bark,1849
AV00086,"Fairhaven, MA",1869,1869 Jun 28,1872,1872,,468,7,Bark,1849
AV00087,"New Bedford, MA",1875,1875 Apr 20,1877,1877 Nov 5,,505,,Brig,1849
AV00088,"New Bedford, MA",1878,1878 May 4,1879,1879 Sep 1,3000,,190,Brig,1849
AV00089,"New Bedford, MA",1880,1880 Apr 6,1881,1881,,,30,Brig,1849
AV00090,Unknown,1809,1809,,,,,,,1792
AV00091,"New Bedford, MA",1801,1801 Aug 7,1802,1802 Aug,,,,Brig,1792
AV00093,"New Bedford, MA",1802,1802,1803,1803 Jun,,100,,Brig,1792
AV00094,"New Bedford, MA",1803,1803 Jul,1804,1804 Jun 22,,280,,Brig,1792
AV00095,"New Bedford, MA",1804,1804 Jul,,,,,,Brig,1792
AV00096,"Sag Harbor, NY",1811,1811 Sep,1812,1812 Jul,,,1100,Ship,1792
AV00097,"Nantucket, MA",1775,1775,,,,,,,
AV00098,"New Bedford, MA",1821,1821 Jul,1823,1823 Sep 6,,2500,,Ship,1810
AV00099,"New Bedford, MA",1825,1825,1828,1828,,2350,,Ship,1810
